INFO         | Android emulator version 37.1.11.0 (build_id 15917651) (CL:N/A)
INFO         | Graphics backend: gfxstream
INFO         | Found systemPath /usr/local/lib/android/sdk/system-images/android-35/google_apis/x86_64/
INFO         | Saving last run QEMU version for the AVD to 2
INFO         | Guest GLES Driver: Auto (ext controls)
INFO         | emuglConfig_init: vulkan_mode_selected:swiftshader gles_mode_selected:swiftshader
INFO         | Checking system compatibility:
INFO         |   Checking: hasSufficientDiskSpace
INFO         |      Ok: Disk space requirements to run avd: `LightForge` are met
INFO         |   Checking: hasSufficientHwGpu
INFO         |      Ok: Hardware GPU compatibility checks are not required
INFO         |   Checking: hasSufficientSystem
INFO         |      Warning: AVD 'LightForge' will run more smoothly with 4 CPU cores (currently using 2)
USER_WARNING | AVD 'LightForge' will run more smoothly with 4 CPU cores (currently using 2).
WARNING      | Feature QuickbootFileBacked is disabled due to stability issues, if you really want that, the environment variable ANDROID_EMU_FORCE_QUICKBOOT_FILE_BACKED need to set to 1
ERROR        | Unable to connect to adb daemon on port: 5037
INFO         | Storing crashdata in: /tmp/android-runner/emu-crash-37.1.11.db, detection is enabled for process: 2693
INFO         | Initializing gfxstream backend
INFO         | startOpenglesRendererImpl: gpu info
INFO         | 
INFO         | initIcdPaths: ICD set to 'swiftshader', using Swiftshader ICD
INFO         | Setting ICD filenames for the loader = /usr/local/lib/android/sdk/emulator/lib64/vulkan/vk_swiftshader_icd.json
INFO         | SharedLibrary::open for [/usr/local/lib/android/sdk/emulator/qemu/linux-x86_64/lib64/vulkan/libvulkan.so]
INFO         | SharedLibrary::open for [/usr/local/lib/android/sdk/emulator/qemu/linux-x86_64/lib64/vulkan/libvulkan.so.1]
INFO         | SharedLibrary::open for [/usr/local/lib/android/sdk/emulator/lib64/vulkan/libvulkan.so]
INFO         | Added library: /usr/local/lib/android/sdk/emulator/lib64/vulkan/libvulkan.so
INFO         | Selecting Vulkan device: SwiftShader Device (Subzero), Version: 1.3.0
INFO         | Using Vulkan externalMemoryMode: OpaqueFd for VkEmulation
INFO         | SharedLibrary::open for [libX11]
WARNING      | Could not open libX11.so, try libX11.so.6
INFO         | SharedLibrary::open for [libX11.so.6]
INFO         | SharedLibrary::open for [libX11-xcb]
WARNING      | Could not open libX11-xcb.so, try libX11-xcb.so.1
INFO         | SharedLibrary::open for [libX11-xcb.so.1]
INFO         | Initializing VkEmulation features:
INFO         |     glInteropSupported: false
INFO         |     useDeferredCommands: true
INFO         |     createResourceWithRequirements: true
INFO         |     useVulkanComposition: false
INFO         |     useVulkanNativeSwapchain: false
INFO         |     enable guestRenderDoc: false
INFO         |     ASTC LDR emulation mode: Gpu
INFO         |     enable ETC2 emulation: true
INFO         |     enable Ycbcr emulation: false
INFO         |     guestVulkanOnly: false
INFO         |     useDedicatedAllocations: false
INFO         |     guestVulkanMaxApiVersion: 1.3.0
INFO         |     enableProtectedMemoryEmulation: false
INFO         | Graphics Adapter Vendor Google (Google Inc.)
INFO         | Graphics Adapter Android Emulator OpenGL ES Translator (Google SwiftShader)
INFO         | Graphics API Version OpenGL ES 3.0 (OpenGL ES 3.0 SwiftShader 4.0.0.1)
INFO         | Graphics API Extensions GL_OES_EGL_sync GL_OES_EGL_image GL_OES_EGL_image_external GL_OES_depth24 GL_OES_depth32 GL_OES_element_index_uint GL_OES_texture_float GL_OES_texture_float_linear GL_OES_compressed_paletted_texture GL_OES_compressed_ETC1_RGB8_texture GL_OES_depth_texture GL_OES_texture_half_float GL_OES_texture_half_float_linear GL_OES_packed_depth_stencil GL_OES_vertex_half_float GL_OES_standard_derivatives GL_OES_texture_npot GL_OES_rgb8_rgba8 GL_EXT_color_buffer_float GL_EXT_color_buffer_half_float GL_EXT_texture_format_BGRA8888 GL_APPLE_texture_format_BGRA8888 
INFO         | Graphics Device Extensions N/A
INFO         | Disabling sparse binding feature support
INFO         | Sending adb public key [QAAAAAnqzZHHO8fPzYVNWVMmGXK0UUB2ZRw2e6eF3uuxwogzYBr9b8D0SDlii2dYf6rCTxmk2OcT77umOgdGPQo1LXoil3Vr5nJrRijOu66XI+nDuzn1+WTBq8JMZKU+YSpHRdbltTAJr6nhRacrjmPZFT74ZssrSrcE/q71lOHYBUvrqtoLm33xlj1YKzdaWsT+pjkq3qQUS30k2dS8yre3fI5SiDGbFz6RNJ9xJAQJqnzANRJKWFpRJr4umUnew3JF6kaX6fNtkx1xoOBuggzYUFGz3kMVT9gIFL4YOJukOK8BEmwUxxTj457GKNWbFXZA9UPe0GY/gm8p1TZcfyyMmp/t/eu/Ly1HIr1CQsOTwoPEkyzH/9LcSo0Kk1nCWU4XH00bfkZvOIZUSYJ/Ob4CJ0pi4trtEhrl2D22VexpQ1fMNuS6TaDT2aImdzv6X1hQ8/atxs8LlZDmMqYpRBgQ8dIrxFRmKJ3u9GhJcmuDMYki1hydIEC8zDp42l8pyhYE5ChCZxnsTgvMrYej7JyKBBYdsDplZa/u6EIitIDbqJ3j+D9lI/gueYj2jUNzkb17+H8rsBP+gFu5QFFW+rF0NmHzXs3vK4R8SGy2Tl1wIslB9u5q0KBKBXDRu8nNyD+8x4ZZbR7GQKoCOXyxXuWlV2fT7VFm9ne+cBuIug8HqdPAxDRTYAEAAQA= runner@unknown]
INFO         | Userspace boot properties:
INFO         |   androidboot.boot_devices=pci0000:00/0000:00:03.0 pci0000:00/0000:00:06.0
INFO         |   androidboot.dalvik.vm.heapsize=576m
INFO         |   androidboot.debug.hwui.renderer=skiagl
INFO         |   androidboot.debug.sf.nobootanimation=1
INFO         |   androidboot.hardware=ranchu
INFO         |   androidboot.hardware.gltransport=pipe
INFO         |   androidboot.hardware.vulkan=ranchu
INFO         |   androidboot.logcat=*:V
INFO         |   androidboot.opengles.version=196608
INFO         |   androidboot.qemu=1
INFO         |   androidboot.qemu.adb.pubkey=QAAAAAnqzZHHO8fPzYVNWVMmGXK0UUB2ZRw2e6eF3uuxwogzYBr9b8D0SDlii2dYf6rCTxmk2OcT77umOgdGPQo1LXoil3Vr5nJrRijOu66XI+nDuzn1+WTBq8JMZKU+YSpHRdbltTAJr6nhRacrjmPZFT74ZssrSrcE/q71lOHYBUvrqtoLm33xlj1YKzdaWsT+pjkq3qQUS30k2dS8yre3fI5SiDGbFz6RNJ9xJAQJqnzANRJKWFpRJr4umUnew3JF6kaX6fNtkx1xoOBuggzYUFGz3kMVT9gIFL4YOJukOK8BEmwUxxTj457GKNWbFXZA9UPe0GY/gm8p1TZcfyyMmp/t/eu/Ly1HIr1CQsOTwoPEkyzH/9LcSo0Kk1nCWU4XH00bfkZvOIZUSYJ/Ob4CJ0pi4trtEhrl2D22VexpQ1fMNuS6TaDT2aImdzv6X1hQ8/atxs8LlZDmMqYpRBgQ8dIrxFRmKJ3u9GhJcmuDMYki1hydIEC8zDp42l8pyhYE5ChCZxnsTgvMrYej7JyKBBYdsDplZa/u6EIitIDbqJ3j+D9lI/gueYj2jUNzkb17+H8rsBP+gFu5QFFW+rF0NmHzXs3vK4R8SGy2Tl1wIslB9u5q0KBKBXDRu8nNyD+8x4ZZbR7GQKoCOXyxXuWlV2fT7VFm9ne+cBuIug8HqdPAxDRTYAEAAQA= runner@unknown
INFO         |   androidboot.qemu.avd_name=LightForge
INFO         |   androidboot.qemu.camera_hq_edge_processing=0
INFO         |   androidboot.qemu.camera_protocol_ver=1
INFO         |   androidboot.qemu.cpuvulkan.version=4206592
INFO         |   androidboot.qemu.gltransport.drawFlushInterval=800
INFO         |   androidboot.qemu.gltransport.name=pipe
INFO         |   androidboot.qemu.hwcodec.avcdec=2
INFO         |   androidboot.qemu.hwcodec.hevcdec=2
INFO         |   androidboot.qemu.hwcodec.vpxdec=2
INFO         |   androidboot.qemu.settings.system.screen_off_timeout=2147483647
INFO         |   androidboot.qemu.skin=1080x2400
INFO         |   androidboot.qemu.virtiowifi=1
INFO         |   androidboot.qemu.vsync=60
INFO         |   androidboot.serialno=EMULATOR37X1X11X0
INFO         |   androidboot.vbmeta.digest=b3271ba499104f4631ae3723913d5c12574e01715fce5b82d60beed097ead264
INFO         |   androidboot.vbmeta.hash_alg=sha256
INFO         |   androidboot.vbmeta.size=6720
INFO         |   androidboot.veritymode=enforcing
WARNING: cannnot unmap ptr 0x7f5de0a01000 as it is in the protected range from 0x7f5ce0a00000 to 0x7f5de0c00000
pc_memory_init: above 4g size: 40000000
INFO         | Monitoring duration of emulator setup.
WARNING      | The emulator now requires a signed jwt token for gRPC access! Use the -grpc flag if you really want an open unprotected grpc port
INFO         | Using security allow list from: /usr/local/lib/android/sdk/emulator/lib/emulator_access.json
INFO         | The active JSON Web Key Sets can be found here: /run/user/1001/avd/running/2693/jwks/26641ee7-87b4-4eba-bd6b-754328d682a1/active.jwk
INFO         | Scanning /run/user/1001/avd/running/2693/jwks/26641ee7-87b4-4eba-bd6b-754328d682a1 for jwk keys.
INFO         | Started GRPC server at 127.0.0.1:8554, security: Local, auth: +token
INFO         | Advertising in: /run/user/1001/avd/running/pid_2693.ini
INFO         | Activated packet streamer for bluetooth emulation
